Zipcode,ExtendedPostalCodes
10473,"['10473-2910', '10473-2911', '10473-2610', '10473-3623', '10473-2632']"
7110,"['7110', '7110', '7110', '7110', '7110']"
7032,"['07032-4012', '07032-2440', '07032-2128', '07032-2604', '07032-3278']"
10803,"['10803', '10803', '10803', '10803', '10803']"
7424,"['07424-2235', '07009-1029', '07470-4833', '07512-1736', '07470-4824']"
