Zipcode,ExtendedPostalCodes
07306,"['07105', '07094-4308', '07094', '07094-4008', '10002-5531', '07002', '07086', '07105-4802', '07002', '07073', '07094-2932', '11209', '07002', '07002-3033', '07093', '10010', '11231-1336', '10003-8184', '10003-5510', '07071-3525', '10002-7804', '07114-3007', '07105-4524', '07002', '07002-5014', '07093', '07002', '11231-1211', '10003-2305', '07032', '07071-3525', '07032', '10018-0209', '07032', '07094-4008', '07002', '07073', '10009-7951', '07031', '10018', '10010-0023', '07047-3310', '07105-4819', '10018', '10036-3706', '07002-2036', '10003-1404', '10018-0209', '07002', '07073', '07002-5066', '07105-4606', '10002-3800', '07002', '07105-4524', '07105-4524', '07032', '07031', '07002', '07105', '07002', '07002-2043', '07047-3311', '07093-1510', '10019-7040', '10001-4104', '11231-1428', '07002', '07073', '10002-4604', '11209', '11209', '10018', '10038', '10018-1404', '11231', '11231', '10002-2499', '07032-4406', '07032', '07105-4819', '07093-1537', '07002-2165', '07094-2932', '07105-4819', '11231-13ND', '10010', '10010-3603', '07071', '07071-3525', '10002', '07032', '10036-3502', '11201-41ND', '07032', '11231-1016', '11201-1615', '07073', '10003-9104', '07002-5066']"
57701,"['57701', '57702-8870', '57702-0167', '57702', '57702', '57703', '57702', '57702-9245', '57701', '57702-8466', '57701', '57701', '57702', '57703', '57703-8463', '57703', '57701-8403', '57703-9506', '57703', '57701', '57701', '57702-8760', '57702-8302', '57701-9417', '57701', '57703', '57701-9615', '57703', '57701', '57703-5962', '57703', '57702', '57701', '57703', '57701-8516', '57702-8466', '57702', '57702-1947', '57702', '57702-0292', '57702', '57702', '57701-0162', '57701-8402', '57701-9417', '57701', '57702-1810', '57701', '57701-8403', '57703-8463', '57701', '57702', '57701', '57703', '57701', '57703', '57703-8004', '57701', '57703', '57703-8463', '57702-6862', '57702-8302', '57701', '57702-9663', '57703-9506', '57702-8861', '57702-8717', '57702-0160', '57702', '57701-7157', '57701-7157', '57701', '57703', '57702', '57703-4747', '57703', '57702', '57701', '57701-9615', '57701', '57702-0167', '57702-4949', '57702-0405', '57703-5962', '57702-2089', '57701', '57702-8466', '57703', '57702', '57702-4823', '57702', '57702', '57701', '57701', '57703', '57702-8717', '57703', '57702-5244']"
